Strange Fruit; Billie Holiday; Jazz; 1939; Commodore
Dream On; Aerosmith; Rock; 1973; Columbia
Dios le Pido; Juanes; World; 2002; Surco
Fix You; Coldplay; Pop; 2005; Parlophone
Sweet Emotion; Aerosmith; Rock; 1975; Columbia
The Man Who Sold the World; David Bowie; Pop; 1970; Mercury Records
Kashmir; Led Zeppelin; Rock; 1975; Swan Song
Like A Prayer; Madonna; Pop; 1989; Warner Bros
Prayer Like A; Madonna; Pop; 1989; Warner Bros
My Favorite Things; John Coltrane; Jazz; 1961; Atlantic
Baby Baby; Girls' Generation; World; 2008; S. M. Entertainment
I Don't Want to Miss a Thing; Aerosmith; Rock; 1998; Columbia
Wildest Dreams; Taylor Swift; Pop; 2015; Big Machine
Vogue; Madonna; Pop; 1990; Warner Bros
Sun; Gen Hoshino; World; 2015; Speedstar Records
Moonlight Sonata; Ludwig Van Beethoven; Classical; 1801; NA
Adventure of a Lifetime; Coldplay; Pop; 2015; Parlophone
Take Five; Dave Brubeck; Jazz; 1959; Columbia
Symphony No. 40 in G Minor; Wolfgang Amadeus Mozart; Classical; 1789; EMG Classical
Like A Stone; Audioslave; Rock; 2002; Interscope
Headstrong; Trapt; Rock; 2002; Warner Bros
Stone Like A; Audioslave; Rock; 2002; Interscope
Maps; Maroon 5; Pop; 2014; Interscope
Zoobi Doobi; Sonu Nigam; World; 2009; T-Series
Gimme Shelter; Rolling Stones; Rock; 1969; Decca Records
Suite No. 1 in C Major; Johann Sebastian Bach; Classical; 1745; Decca
Under Pressure; David Bowie; Pop; 1982; Elektra
Moon; Yoko Kanno; World; 1999; Victor Entertainment
No More; Billie Holiday; Jazz; 1944; Columbia
Dinah; Louis Armstrong; Jazz; 1925; NA
Symphony No. 5 in C Minor; Ludwig van Beethoven; Classical; 1808; Reference Recordings
Frozen; Madonna; Pop; 1998; Warner Bros
So What; Miles Davis; Jazz; 1959; Columbia
Livin La Vida Loca; Ricky Martin; Pop; 1998; Columbia
Kal Ho Na Ho; Sonu Nigam; World; 2003; Sony BMG
Milestones; Miles Davis; Jazz; 1959; Columbia
Kal Ho Ho Na; Sonu Nigam; World; 2003; Sony BMG
Yellow; Coldplay; Pop; 2000; Parlophone
Na Kal Ho Ho; Sonu Nigam; World; 2003; Sony BMG
Ho Ho Kal Na; Sonu Nigam; World; 2003; Sony BMG
A Stone Like; Audioslave; Rock; 2002; Interscope
A Prayer Like; Madonna; Pop; 1989; Warner Bros
